LP;extension;group;action;done
305;f202059025_WindowsCodecsExt;PhotoRecExt;leave;
306;f202082401_AVMETER;PhotoRecExt;leave;
307;f202092793_XEnroll;PhotoRecExt;leave;
308;f202152593_STRMDLL;PhotoRecExt;leave;
309;f202186585_Windows_Media_Player;PhotoRecExt;leave;
310;f202186945_Windows_Media_Player;PhotoRecExt;leave;
311;f202186985_Windows_Media_Player;PhotoRecExt;leave;
312;f202196217_Windows_Media_Player;PhotoRecExt;leave;
313;f202402681_gdiplus;PhotoRecExt;leave;
314;f202685305_sqloledb;PhotoRecExt;leave;
315;f202687353_sqloledb;PhotoRecExt;leave;
316;f202687545_sqlxmlx;PhotoRecExt;leave;
317;f202687993_sqlxmlx;PhotoRecExt;leave;
318;f202794553_setup_wm;PhotoRecExt;leave;
319;f233377105_WerMgr;PhotoRecExt;leave;
320;f233383457;PhotoRecExt;leave;
321;f233389633_WIADSS_DLL;PhotoRecExt;leave;
322;f233394657_win;PhotoRecExt;leave;
323;f233394673_win;PhotoRecExt;leave;
324;f233461761_Acrobat;PhotoRecExt;leave;
325;f233512041_Acrobat;PhotoRecExt;leave;
326;f233613249_FMS;PhotoRecExt;leave;
327;f233613889_FMS;PhotoRecExt;leave;
328;f233764041_FMS;PhotoRecExt;leave;
329;f233764849_FMS;PhotoRecExt;leave;
330;f233765657_FMS;PhotoRecExt;leave;
331;f233815025_Acrobat;PhotoRecExt;leave;
332;f233815369_Acrobat;PhotoRecExt;leave;
333;f233824233_Acrobat;PhotoRecExt;leave;
334;f233890521_vsmraid;PhotoRecExt;leave;
335;f234039113_Acrobat;PhotoRecExt;leave;
336;f234042569_Acrobat;PhotoRecExt;leave;
337;f234093233_nvm60x32;PhotoRecExt;leave;
338;f234807833_HPDJSLK;PhotoRecExt;leave;
339;f234810737_HPDJSLK;PhotoRecExt;leave;
340;f235047033_Acrobat;PhotoRecExt;leave;
341;f235202073_FMS;PhotoRecExt;leave;
342;f235206713_ADs;PhotoRecExt;leave;
343;f235206721_ADs;PhotoRecExt;leave;
344;f235206809_oledsldp;PhotoRecExt;leave;
345;f235206817_adsldpc;PhotoRecExt;leave;
346;f235206825_oledsldp;PhotoRecExt;leave;
347;f235206833_winnt;PhotoRecExt;leave;
348;f235209369_Apphelp;PhotoRecExt;leave;
349;f235209377_Apphelp;PhotoRecExt;leave;
350;f235212153_azroles;PhotoRecExt;leave;
351;f235213209_bootres;PhotoRecExt;leave;
352;f235213609_Bubbles;PhotoRecExt;leave;
353;f235214233_CertCli;PhotoRecExt;leave;
354;f235214265_CertCli;PhotoRecExt;leave;
355;f235214313_CertEnc;PhotoRecExt;leave;
356;f235214321_CertEnroll;PhotoRecExt;leave;
357;f235214409_CertEnroll;PhotoRecExt;leave;
358;f235215385_CLB;PhotoRecExt;leave;
359;f235215473_clusapi;PhotoRecExt;leave;
360;f235221249_dnsapi;PhotoRecExt;leave;
361;f235221281_dnscmmc;PhotoRecExt;leave;
362;f235222057_dvdplay;PhotoRecExt;leave;
363;f235222177_dwmcore;PhotoRecExt;leave;
364;f235222185_dwmcore;PhotoRecExt;leave;
365;f235222209_DWrite;PhotoRecExt;leave;
366;f235222217_Dw20;PhotoRecExt;leave;
367;f235223577_expand;PhotoRecExt;leave;
368;f235223593_expand;PhotoRecExt;leave;
369;f235224561_FMS;PhotoRecExt;leave;
370;f235224585_FontCacheService;PhotoRecExt;leave;
371;f235227601_glu32;PhotoRecExt;leave;
372;f235227745_gpprefcl;PhotoRecExt;leave;
373;f235238345_iSCSI_Event_Log_DLL;PhotoRecExt;leave;
374;f235240065_kernel32;PhotoRecExt;leave;
375;f235243137_Kernelbase;PhotoRecExt;leave;
376;f235251977_MSVidCtl;PhotoRecExt;leave;
377;f235252721_Mystify;PhotoRecExt;leave;
378;f235259689_Auto_Enrollment_DLL;PhotoRecExt;leave;
379;f235259705_Auto_Enrollment_DLL;PhotoRecExt;leave;
380;f235264361_RasCredProv;PhotoRecExt;leave;
381;f235264913_Ribbons;PhotoRecExt;leave;
382;f235265689_Microsoft_Samples;PhotoRecExt;leave;
383;f235266225_scecli;PhotoRecExt;leave;
384;f235266281_scecli;PhotoRecExt;leave;
385;f235266337_scesrv;PhotoRecExt;leave;
386;f235266433_scesrv;PhotoRecExt;leave;
387;f235266817_scrnsave;PhotoRecExt;leave;
388;f235268137_SeCEdit;PhotoRecExt;leave;
389;f235268201_secinit;PhotoRecExt;leave;
390;f235272153_Text3D;PhotoRecExt;leave;
391;f235277041_user32;PhotoRecExt;leave;
392;f235280417_ERC;PhotoRecExt;leave;
393;f235280489_wersvc;PhotoRecExt;leave;
394;f235281145_WIADSS_DLL;PhotoRecExt;leave;
395;f235291537_FMS;PhotoRecExt;leave;
396;f235292257_FMS;PhotoRecExt;leave;
397;f235293001_FMS;PhotoRecExt;leave;
398;f235293801_FMS;PhotoRecExt;leave;
399;f235294617_FMS;PhotoRecExt;leave;
400;f235295233_FMS;PhotoRecExt;leave;
401;f235296009_FMS;PhotoRecExt;leave;
402;f235341737_PINTLCSA;PhotoRecExt;leave;
403;f235365393_FMS;PhotoRecExt;leave;
404;f235366177_FMS;PhotoRecExt;leave;
405;f235366777_FMS;PhotoRecExt;leave;
406;f235369313_FMS;PhotoRecExt;leave;
407;f235369961_FMS;PhotoRecExt;leave;
408;f235454697_FMS;PhotoRecExt;leave;
409;f235455665_FMS;PhotoRecExt;leave;
410;f235481577_FMS;PhotoRecExt;leave;
411;f235483257_FMS;PhotoRecExt;leave;
412;f235484073_FMS;PhotoRecExt;leave;
413;f235767817_FMS;PhotoRecExt;leave;
414;f235768577_FMS;PhotoRecExt;leave;
415;f235770801_FMS;PhotoRecExt;leave;
416;f235771481_FMS;PhotoRecExt;leave;
417;f301988489_UPGRADE;PhotoRecExt;leave;
418;f302030473_SQLCECOMPACT;PhotoRecExt;leave;
419;f302033473_SQLCEME;PhotoRecExt;leave;
420;f302063369_UPGRADE;PhotoRecExt;leave;
421;f302065937_UPGRADE;PhotoRecExt;leave;
422;f302066081_SQLCECOMPACT;PhotoRecExt;leave;
423;f302333329_SQLCEER;PhotoRecExt;leave;
424;f302334257_SQLCEQP;PhotoRecExt;leave;
425;f302340833_UPGRADE;PhotoRecExt;leave;
426;f302345369_SQLCEOLEDB;PhotoRecExt;leave;
427;f302348049_SQLCEME;PhotoRecExt;leave;
428;f302351609_SQLCESE;PhotoRecExt;leave;
429;f302357785_UPGRADE;PhotoRecExt;leave;
430;f302358505_SQLCEER;PhotoRecExt;leave;
431;f302358793_SQLCEER;PhotoRecExt;leave;
432;f302359081_UPGRADE;PhotoRecExt;leave;
433;f302486745_SQLCEME;PhotoRecExt;leave;
434;f302490297_DBNETLIB;PhotoRecExt;leave;
435;f302499265_SQLCEER;PhotoRecExt;leave;
436;f302502073_SQLCEME;PhotoRecExt;leave;
437;f302520345_SQLCECA;PhotoRecExt;leave;
438;f302521257_SQLCEER;PhotoRecExt;leave;
439;f302521545_SQLCEOLEDB;PhotoRecExt;leave;
440;f302521961_SQLCEQP;PhotoRecExt;leave;
441;f302523769_SQLCESE;PhotoRecExt;leave;
442;f302530153_SQLCECA;PhotoRecExt;leave;
443;f302531089_SQLCEQP;PhotoRecExt;leave;
444;f302537977_SQLCECA;PhotoRecExt;leave;
445;f302538985_SQLCEOLEDB;PhotoRecExt;leave;
446;f302539449_SQLCEQP;PhotoRecExt;leave;
447;f302541513_SQLCESE;PhotoRecExt;leave;
448;f302548793_SQLCECA;PhotoRecExt;leave;
449;f302550289_SQLCESE;PhotoRecExt;leave;
450;f302557569_SQLCECA;PhotoRecExt;leave;
451;f302558569_SQLCEER;PhotoRecExt;leave;
